Unnamed: 0,text,label
0,itemnya bagus buku buku mahal dikurangi suka buku membeli buku terima kasih,Love
1,samain packing ikan,Anger
2,instruksi rakitnya ginana item berbeda pesan,Anger
3,packing oke banget ikannya mantebbb langganan nih,Love
4,susah bikinnya ga ngerti ribet packing yg lecek robek kertasnya ya uda,Anger
5,jos mantap udah tes nya normal tinggal coba hasil suaranya aja moga suaranya kendala,Happy
6,order datangnya ketahuan nya dibongkar diberesin masuk kotak kemasan yg isinya complain ditolak krn gaada video unboxing unilever official account dipercaya,Fear
7,tebal berkualitas jaketnya stylish keren modelnya,Happy
8,permintaan posisi rumah bentaru cilane jakarta piccasi celera pidato cepat mengambil,Anger
9,,Anger
10,barang nya selamat coba lumayan bagus sesuai harga next beli alat packaging aman bagus,Love
11,pengepakan dijamin bersemangat bungkus gelembung cepat proses senin malam periksa pagi kirim rabu sore cepat puas terima kasih sukses,Love
12,original amazon proses pesanan cepat packaging aman packaging rapi respon penjualnya top gampang enak baca,Happy
13,jamnya berfungsi normal bahannya bagus ukuran sesuai nyaman dipakai,Happy
14,pengiriman kilat cepet banget nyampenya beli malem langsung dikirim harga lbh murah terima kasih,Love
15,mkshhhh klien syukkkaaaa,Love
16,hidup,Fear
17,barang bagus kebocoran outlet dioperasikan,Sadness
18,bagasi sesuai beban mohon pendataan bagasi cermat,Fear
19,build kokoh kakinya gampang diatur berfungsi berfungsi,Happy
20,gumush bgt cutternyaa warna pinkkknya cutee seneng bangedddd lochh thank deliii peralatannya lengkap keren,Love
21,barang sesuai gambar packing rapi pengiriman cepat,Happy
22,keluhan,Fear
23,penjual mengirim elemen membeli alih menuduh pembeli perbedaan perbedaan upaya memverifikasi sistem penyortiran,Anger
24,pengiriman standart buku aman,Happy
25,pdhl beli tanggla bilang souvenir dtg cm susu nya genting,Anger
26,kotaknya pembungkus penyok jelek,Anger
27,deskripsi warna sesuai,Fear
28,ikan betta hebat menyantuni wujud menyesuaikan air sirip ekor akuarium bgt,Love
29,kecewa banget pengiriman dibungkus buble wrap doang sehinga ptodak yg pecah prodak yg bocor dikirim dikomplain disuruh kirim bayar ongkosnya rp ribu dikembalikan rp ribu sj quality kontrolnya jelek pengemasan nya seadanya sj,Fear
30,beli stik alhamdulillah packingnya pakai bubble wrap rapi stik coba pakai stik nya berfungsi normal catatan pakai main game yg ringan game yg bertipe membutuhkan ritme kecepatan menggerakkan analog menekan tombol yg keras berkali game fighting main game bertipe casual terimakasih,Happy
31,gambar penawaran alternatif berisi hadiah harga berbeda,Fear
32,ga jujur orang dagang,Anger
33,barang sesuai pesanan gold d kirim warna putih merk,Anger
34,harga terjangkau adaptor yg berfungsi power cek engineering jg betulkan please check properly sent packages make sure item works,Fear
35,sesuai gambar ok trims,Happy
36,defect dikit ujungnya tp gpp,Happy
37,pesanan diproses,Sadness
38,barang pecah rusak diterima,Fear
39,dipenjualan tertulis obeng magnet bohong obengnya ga magnet sengit melancarkan hidup perlengkapan lengkap parah,Sadness
40,deskripsi diameter kandidat salah cocok lensa lensa,Sadness
41,jahitan rapi modelnya cantik nyaman dipakai bahannya adem menerawang,Love
42,mantap langsung,Happy
43,packing rapi n aman produk sesuai pesanan seller responsif utk dendeng ny blm dicoba ya enak thanks,Happy
44,istimewa,Love
45,upload transfer file komputer player padalhan gonti usb cable pelajaran yg termulia update usb drive nya beli external memory card tertulis internal,Sadness
46,packaging barang utuh dikirim anggoto keluarga isoman semoga membantu pemulihan promo ya real food sukses,Happy
47,tali krng,Sadness
48,barang sdh diterima dlm kondisi packing bagus rapi pengiriman cepat mksh,Happy
49,barang sesuai gambar payah,Anger
50,bubel ud atc,Fear
51,packing sesuai deskripsi kardussss bekassssss,Anger
52,memesan harga murah kemasan super aman rusak menerimanya,Love
53,salah kirim bawaan dibantu retur retur bawaan yg dikirim usang retak bobot eye shadow nya menunggu utk retur semoga dibantu utk retur,Fear
54,barang terima yg bocor yg tren barang padu deskripsi,Sadness
55,lidah kerudung kelebaran,Sadness
56,nympe,Anger
57,penjual gak jujur respon kebanyakan bot,Anger
58,penjual teliti saran kpd pembeli hasil embossed nama berwarna putih kontras jelek perpaduannya nomor diembose sdh tercatat penjual lalai mengkomentari shg hasilnya jg tdk diembosed mengecewakan ga ksh foto krn nama nya tercetak,Sadness
59,celana memasuki kaki anak pesannya menaikkan ukurannya,Sadness
60,respon cepat barang original terbaik recomended packing sukses ya,Love
61,dimsum setia menemani kehangatan musim gigitannya mak,Love
62,kurma matang sempurna mantap pokoknya pas anak orang tua sukses smoga berkah gan aamiinn,Happy
