,text,label
0,"Itemnya bagus tapi buku buku ini sangat mahal, mungkin bisa dikurangi sedikit saya suka buku dan sepertinya saya akan membeli buku lain di sini, terima kasih",Love
1,jangan samain packing sama ikan,Anger
2,"Tidak jelas bahwa tidak ada instruksi, rakitnya adalah ginana, sepertinya item berbeda dari apa yang saya pesan",Anger
3,Packing oke banget ikannya juga mantebbb langganan nih,Love
4,Susah bikinnya ga ngerti ribet packing juga kurang bahkan ada yg lecek dan robek kertasnya ya uda lah,Anger
5,jos mantap udah saya tes Nya normal semua tinggal coba hasil suaranya aja moga suaranya juga tanpa kendala,Happy
6,Order datangnya Ketahuan nya setelah dibongkar dan diberesin masuk ke kotak ada satu kemasan yg isinya cuma Complain ditolak krn gaada video unboxing Ternyata Unilever Official Account pun tak bisa dipercaya,Fear
7,Tebal berkualitas Jaketnya stylish Keren modelnya,Happy
8,Permintaan untuk segera adalah posisi rumah di Bentaru Cilane Jakarta dan bahkan ke Piccasi Celera Pidato cepat mengambil akhir,Anger
9,Tidak jelas,Anger
10,Barang nya sampai dengan selamat sudah di coba dan lumayan bagus sesuai harga next akan beli lagi alat yang lainnya Packaging aman dan bagus,Love
11,"Pengepakan luar biasa Dijamin bersemangat untuk menggunakan bungkus gelembung dengan cepat melalui proses Senin malam, periksa pagi hari kirim hari ini Rabu sore sampai sangat cepat sangat puas terima kasih selalu sukses",Love
12,Original Amazon Proses pesanan cepat Packaging aman Packaging rapi Respon penjualnya top Gampang Enak buat baca,Happy
13,Jamnya berfungsi normal Bahannya bagus Ukuran sesuai Nyaman dipakai lama,Happy
14,Pengiriman kilat cepet banget nyampenya beli malem dan saat itu juga langsung dikirim Harga juga jauh lbh murah Terima kasih,Love
15,Mkshhhh: klien saya adalah syukkkaaaa,Love
16,tidak bisa hidup,Fear
17,Barang -barangnya tidak bagus dalam kebocoran di outlet saat dioperasikan,Sadness
18,bagasi tidak sesuai beban mohon pendataan bagasi lebih cermat lagi,Fear
19,Build kokoh Kakinya gampang diatur Berfungsi dengan baik Berfungsi dengan baik,Happy
20,gumush bgt cutternyaa warna pinkkknya cutee seneng bangedddd lochh thank deliii peralatannya lengkap keren,Love
21,Barang sesuai gambar packing rapi pengiriman cepat,Happy
22,Tidak ada keluhan.,Fear
23,"Penjual yang mengirim lebih sedikit elemen untuk membeli saja, alih -alih mengatakan bahwa tidak mungkin untuk menuduh pembeli, meskipun satu -satunya perbedaan adalah perbedaan dalam upaya untuk memverifikasi sistem penyortiran setelah itu.",Anger
24,pengiriman standart dan buku sampai dengan aman,Happy
25,pdhl beli tanggla bilang ada souvenir ternyata dtg cm susu nya genting,Anger
26,Kotaknya adalah pembungkus penyok jelek saja,Anger
27,deskripsi warna kurang sesuai,Fear
28,ikan betta yang sangat hebat menyantuni dan wujud menyesuaikan air di sirip setengah bulan ekor akuarium baru bgt,Love
29,kecewa banget pengiriman hanya dibungkus buble wrap doang sehinga ptodak ada yg pecah dan ada prodak yg bocor tetap dikirim ketika dikomplain disuruh kirim balik bayar ongkosnya rp ribu tapi dikembalikan hanya rp ribu sj quality kontrolnya jelek pengemasan nya seadanya sj,Fear
30,Beli satu stik Alhamdulillah sampai dengan keadaan baik Bahkan packingnya pun juga pakai bubble wrap rapi Saat ini stik sudah saya coba pakai selama kurang lebih lebih stik nya berfungsi dengan normal dan baik saja DENGAN CATATAN saya pakai buat main game yg ringan saja Seperti misalnya bukan game yg bertipe membutuhkan ritme kecepatan menggerakkan analog dan juga bukan menekan tombol yg keras dan berkali Misalnya game fighting Hanya saya gunakan buat main game bertipe casual saja Itu saja terimakasih,Happy
31,Ternyata dalam gambar penawaran adalah alternatif yang berisi hadiah harga yang berbeda,Fear
32,Ga jujur ini orang dagang,Anger
33,BARANG TIDAK SESUAI PESANAN DIMINTA GOLD MALAH D KIRIM WARNA PUTIH DAN MERK LAIN,Anger
34,HArga terjangkau Tetapi ada dua adaptor yg tidak bisa berfungsi tidak ada power sama sekali setelah di cek engineering saya jg sama sekali tidak bisa di betulkan please check properly sent packages make sure item works,Fear
