,text,label
0,jelek barang sampai disini udah rusak GK bisa jalan,0
1,"Packing kurang aman, handle patah,emang bahan plastiknya ringkih sih, maklum. Pengiriman lumayan cepat.",1
2,"prod dikirim dgn dilipat,tdk digulung padahal utk background foto..jadinya ada bekas lipatan permananen",4
3,Lagi musim hujan. Tidak dibungkus yang aman dan rapat. Jadi air hujannya masuk,4
4,"pertama transaksi, semoga berkah dan next order lagi ??",3
5,"Baru dicoba untuk alas duduk beberapa jam, so far lumayan nyaman tapi masih belum terbiasa. Selain empuk, juga bikin posisi duduk jadi tambah tinggi.",2
6,"tidak ada lapisan pelindung sama sekali, entah itu plastik ataupun wraping. dus yg diterima dalam keadaan penyok, ember banyak lecet. pengiriman sangat lama dari hari minggu sampe nya hari Rabu, padahal masih sama Jakarta. padahal beli nya di toko official resmi. lebih bagus beli di toko yg biasa. sebelumnya saya beli ditoko yg biasa buat hadiah 1 hari sampe, harga lebih murah packing bagus. ini toko resmi malah hancur, mana buat hadiah lagi. tutup aja tokonya...????????",0
7,Packaging simpel. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman ??. Packaging rapi. Respon penjualnya top.,2
8,"Pembelian kedua tapi baru buka langsung sobek bagian atas, :(",4
9,Kecewa kali bru beli aja udh lepas halaman pertama . Ntah buku asli atau g nih . Packing jg kurang .,4
10,artemia dtg udah byk yg mati,1
11,bahannya enak gak gerah dipakainya.,2
12,agak tipis tapi ok lha,2
13,"dipakai sekali saja sudah rusak tidak mau menyala,maaf saya ksh bintang 1",4
14,mantap dapet harga yg miring. pengiriman sehari kemudian lgsg sampee! packing aman dan rapih. expired juga masih 2023. makasihhh,2
15,barang rusak di kirim,0
16,"Kali ini saya kecewa, mungkin karyawan teh Nina agak lalai liat order, sudah jelas ada pesanan bubble wrap dan dus, tapi paket yg saya terima tanpa bubble wrap dan dus.",4
17,"Barang Ori, bagus, masih segel, sejauh ini berfungsi dengan baik",2
18,Bahannya tebal. Bahannya lembut. Warnanya cantik ??. anti slip. Ukuran sesuai.,3
19,Pengiriman lama,0
20,"beli baru, tapi kok kacamatanya kotor dan usang...",1
21,"pembelian pertama, pelayanan terburuk. respon lama, kirim lama",0
22,"Saran, dikasih logo/tulisan 1more di silikon nya, terus untuk indikator charge dikasih lubang biar keliatan jelas ngecas/ngga. Overall puas sama barangnya.",2
23,beli warna ungu kenapa warnanya jelek ya ungu pudar,0
24,"Baterainya yang saya dapet rusak, pantes pas di charge ga penuh penuh, pas dicoba ternyata gabisa. Fisik baterainya juga agak kembung",4
25,barang udah nyampe ..makasih broo,2
26,njir dikasih barang pecah guoblok yg dagang.,0
